token,format,description,source
cvr_delta_pct,number,Percent change in CVR from baseline to current (e.g., -12.34).,metrics (MetricCompareNode)
sessions_delta_pct,number,Percent change in sessions from baseline to current.,metrics (MetricCompareNode)
orders_delta_pct,number,Percent change in orders from baseline to current.,metrics (MetricCompareNode)
atc_rate_delta_pct,number,Percent change in add-to-cart rate from baseline to current.,metrics (MetricCompareNode)
atc_sessions_delta_pct,number,Percent change in add-to-cart sessions from baseline to current.,metrics (MetricCompareNode)
current_orders,number,Current orders count.,metrics (MetricCompareNode)
baseline_orders,number,Baseline orders count.,metrics (MetricCompareNode)
current_sessions,number,Current sessions count.,metrics (MetricCompareNode)
baseline_sessions,number,Baseline sessions count.,metrics (MetricCompareNode)
current_atc_sessions,number,Current add-to-cart sessions count.,metrics (MetricCompareNode)
baseline_atc_sessions,number,Baseline add-to-cart sessions count.,metrics (MetricCompareNode)
current_cvr,number,Current CVR as a fraction (0-1).,metrics (MetricCompareNode)
baseline_cvr,number,Baseline CVR as a fraction (0-1).,metrics (MetricCompareNode)
current_atc_rate,number,Current ATC rate as a fraction (0-1).,metrics (MetricCompareNode)
baseline_atc_rate,number,Baseline ATC rate as a fraction (0-1).,metrics (MetricCompareNode)
dimension,string,Dimension name of the top evidence entry.,InsightNode (top evidence)
dimension_label,string,Human-friendly label for the dimension.,InsightNode (top evidence)
value,string,Display value of the top evidence entry (e.g., product title or dimension value).,InsightNode (top evidence)
top1_dimension,string,Dimension name of the #1 ranked entry.,InsightNode (selected[0])
top1_dimension_label,string,Human-friendly label for the #1 ranked dimension.,InsightNode (selected[0])
top1_value,string,Display value of the #1 ranked entry.,InsightNode (selected[0])
top1_cvr_delta_pct_fmt,string,Formatted CVR delta percent for #1 ranked entry.,InsightNode (selected[0])
top1_atc_rate_delta_pct_fmt,string,Formatted ATC rate delta percent for #1 ranked entry.,InsightNode (selected[0])
top1_sessions_delta_pct,number,Raw sessions delta percent for #1 ranked entry.,InsightNode (selected[0])
top1_sessions_delta_pct_fmt,string,Formatted sessions delta percent for #1 ranked entry.,InsightNode (selected[0])
top1_orders_delta_pct,number,Raw orders delta percent for #1 ranked entry.,InsightNode (selected[0])
top1_orders_delta_pct_fmt,string,Formatted orders delta percent for #1 ranked entry.,InsightNode (selected[0])
top2_dimension,string,Dimension name of the #2 ranked entry.,InsightNode (selected[1])
top2_dimension_label,string,Human-friendly label for the #2 ranked dimension.,InsightNode (selected[1])
top2_value,string,Display value of the #2 ranked entry.,InsightNode (selected[1])
top2_cvr_delta_pct_fmt,string,Formatted CVR delta percent for #2 ranked entry.,InsightNode (selected[1])
top2_atc_rate_delta_pct_fmt,string,Formatted ATC rate delta percent for #2 ranked entry.,InsightNode (selected[1])
top2_sessions_delta_pct,number,Raw sessions delta percent for #2 ranked entry.,InsightNode (selected[1])
top2_sessions_delta_pct_fmt,string,Formatted sessions delta percent for #2 ranked entry.,InsightNode (selected[1])
top2_orders_delta_pct,number,Raw orders delta percent for #2 ranked entry.,InsightNode (selected[1])
top2_orders_delta_pct_fmt,string,Formatted orders delta percent for #2 ranked entry.,InsightNode (selected[1])
top3_dimension,string,Dimension name of the #3 ranked entry.,InsightNode (selected[2])
top3_dimension_label,string,Human-friendly label for the #3 ranked dimension.,InsightNode (selected[2])
top3_value,string,Display value of the #3 ranked entry.,InsightNode (selected[2])
top3_cvr_delta_pct_fmt,string,Formatted CVR delta percent for #3 ranked entry.,InsightNode (selected[2])
top3_atc_rate_delta_pct_fmt,string,Formatted ATC rate delta percent for #3 ranked entry.,InsightNode (selected[2])
top3_sessions_delta_pct,number,Raw sessions delta percent for #3 ranked entry.,InsightNode (selected[2])
top3_sessions_delta_pct_fmt,string,Formatted sessions delta percent for #3 ranked entry.,InsightNode (selected[2])
top3_orders_delta_pct,number,Raw orders delta percent for #3 ranked entry.,InsightNode (selected[2])
top3_orders_delta_pct_fmt,string,Formatted orders delta percent for #3 ranked entry.,InsightNode (selected[2])
top4_dimension,string,Dimension name of the #4 ranked entry.,InsightNode (selected[3])
top4_dimension_label,string,Human-friendly label for the #4 ranked dimension.,InsightNode (selected[3])
top4_value,string,Display value of the #4 ranked entry.,InsightNode (selected[3])
top4_cvr_delta_pct_fmt,string,Formatted CVR delta percent for #4 ranked entry.,InsightNode (selected[3])
top4_atc_rate_delta_pct_fmt,string,Formatted ATC rate delta percent for #4 ranked entry.,InsightNode (selected[3])
top4_sessions_delta_pct,number,Raw sessions delta percent for #4 ranked entry.,InsightNode (selected[3])
top4_sessions_delta_pct_fmt,string,Formatted sessions delta percent for #4 ranked entry.,InsightNode (selected[3])
top4_orders_delta_pct,number,Raw orders delta percent for #4 ranked entry.,InsightNode (selected[3])
top4_orders_delta_pct_fmt,string,Formatted orders delta percent for #4 ranked entry.,InsightNode (selected[3])
confidence_score,number,Confidence score heuristic (0-1).,InsightNode
cvr_delta_pct_fmt,string,Formatted CVR delta percent.,InsightNode
sessions_delta_pct_fmt,string,Formatted sessions delta percent.,InsightNode
orders_delta_pct_fmt,string,Formatted orders delta percent.,InsightNode
current_cvr_pct,string,Formatted current CVR percent.,InsightNode
baseline_cvr_pct,string,Formatted baseline CVR percent.,InsightNode
